ranking,ID,Title,Year,Cited by,DOI,score_tematico,score_actualidad,score_citaciones,score_metodologico,total_score,metodologia,resultados,objetivo,hallazgos
1,117,ICT adoption and youth employment in Nigeria's agricultural sector,2024,18,10.1108/AJEMS-03-2022-0111,0.1896551724137931,0.8,0.7282714920267325,0.5,0.4504818846122431,Logit/Probit; Estudio Descriptivo,Factores educativos,"This study proposes improved infrastructure facilities such as reliable power supply, lowering the cost of mobile and data subscriptions and better education facilities should be prioritised at all localities.",the result reveals that ICT adoption can increase youth agricultural employment by approximately 21%. show that the youth's average weekly engagement in agricultural activities is about 24 h.
2,40,"Determinants of youth unemployment in Barranquilla, Colombia: a multi-method analysis of education, work experience, and socioeconomic factors",2025,6,10.1080/02673843.2025.2492106,0.1724137931034483,1.0,0.4812974212166097,0.6000000000000001,0.4424663807950461,Logit/Probit; Machine Learning,Factores educativos; Capital humano; Políticas públicas,"This study examines the complex factors influencing youth unemployment in Barranquilla, Colombia, focusing on the roles of education, work experience, and socioeconomic background. Employing a multi-method approach combining logistic regression, chi-square tests, ANOVA, and Random Forest analysis, the research analyzes data from 2,250 young adults aged 18–28.",Results show postgraduate education reduces unemployment odds by 70.
3,76,Determinants of youth unemployment among university students from Mexico city; [Determinantes del desempleo juvenil en estudiantes universitarios de la ciudad de México],2025,0,10.4067/S0718-50062025000200139,0.3620689655172414,1.0,0.0,0.5,0.4310344827586207,Logit/Probit; Estudio Descriptivo,Factores educativos; Desigualdad de género; Capital humano; Políticas públicas,This study aims to identify the determinants of unemployment among higher education students.,"The results reveal that age, gender, educational level, work experience, region of residence, mobility, participation in employment programs, and entrepreneurship resources are significant factors influencing student employability."
4,72,Determinants of Youth Unemployment in Urban Duhok: A Logistic Regression Analysis of Duhok's Labor Market,2025,1,10.53754/iscs.v5i1.767,0.20689655172413793,1.0,0.17144160057391344,0.9,0.42773659597685165,Econometría; Logit/Probit; Estudio Descriptivo,Factores educativos; Desigualdad de género; Mercado laboral,"Youth unemployment remains a critical socioeconomic issue in Duhok City. This study used an online cross-sectional survey (Google Forms) of 2,076 urban residents aged 18–30, conducted from January to March 2025, to assess employment status and sociodemographic predictors of joblessness.","However, the online sampling methodology limits generalizability to digitally connected youth populations only. © 2025 by the authors."
5,31,Youth unemployment and associated factors in India,2025,2,10.1016/j.childyouth.2024.108081,0.25862068965517243,1.0,0.2717285079732675,0.4,0.42365604642223975,Logit/Probit,Factores educativos; Desigualdad de género; Mercado laboral,"Despite different policies targeting youth unemployment, it remains a significant concern in the Indian labour market. Due to high levels of youth unemployment, the country is not able to reap the desired benefits of the demographic dividend.","For that, employers and educators’ need be part of policy formation that targets youth employment. © 2024 Elsevier Ltd"
6,18,Fostering employment match? Graduates’ internships and early professional experiences between individuals’ choices and institutional constraints,2025,5,10.1108/IJSSP-10-2024-0498,0.1896551724137931,1.0,0.44317010854718086,0.4,0.4234616079163327,Panel Data,Factores educativos; Capital humano; Mercado laboral; Políticas públicas; Transición escuela-trabajo,"We investigate whether internships during and after the degree program improve employment quality, specifically in terms of coherence between the job obtained and the educational-level achieved.","We conclude that internships may help secure employment but at the cost of overeducation for graduates. The findings suggest that curricular internships, if at all, do not affect the likelihood of obtaining a matching qualified job."
7,7,Why is the size of discouraged labour force increasing in India?,2023,3,10.1007/s10644-023-09538-0,0.25862068965517243,0.6,0.3428832011478269,1.0,0.4178869850571516,Econometría; Logit/Probit; Panel Data; Estudio Descriptivo,Factores educativos,"This paper explores the trends, composition, and determinants of rising DLF in India using national level employment-unemployment surveys and macro-level panel data.","Moreover, these measures could help in the process of harnessing the demographic dividend in India through an increased level of labour productivity in the long run. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
8,2,Applying the forest load capacity factor to assess environmental sustainability in the Global South,2025,1,10.1016/j.forpol.2025.103631,0.1896551724137931,1.0,0.17144160057391344,0.8,0.4091159063216792,Econometría; Panel Data,Desigualdad de género; Mercado laboral,"Forests play a critical role in achieving environmental sustainability because they absorb polluting waste from anthropogenic activities and produce biomass. However, the forest load capacity of developing countries has deteriorated due to the overload of unregulated economic activities.",show that environmental sustainability exhibits a cointegrating relationship with the regressors when considering structural breaks in the series resulting from external and internal shocks. show that the regressors have a heterogeneous effect on environmental sustainability across the distribution.
9,112,Determinants of youth financial inclusion in MENA countries: account holding versus the use of digital services,2025,6,10.1108/JFRA-12-2023-0789,0.13793103448275862,1.0,0.4812974212166097,0.4,0.4052250014847012,Logit/Probit,Factores educativos; Desigualdad de género; Políticas públicas,The purpose of this paper is to address the two following questions.,"Originality/value: To the best of the authors’ knowledge, no paper has addressed yet the determinants of youth financial inclusion, especially the use of digital services, with a focus on job status (entrepreneurs vs employees) in MENA countries, prior and during the pandemic. © 2024, Emerald Publishing Limited."
10,120,"The Youth Guarantee, Vulnerability, and Social Exclusion Among NEETs in Southern Europe",2024,9,10.17645/pag.7469,0.2413793103448276,0.8,0.5695166695789404,0.1,0.40459298908820196,Estudio Descriptivo,Factores educativos; Desigualdad de género; Mercado laboral; Políticas públicas,"Young people neither in employment, education, or training (NEETs) are particularly vulnerable to social and economic exclusion. Indeed, recognition of this fact was a key motivating factor underlying the development of the Youth Guarantee.","The findings suggest that greater efforts are needed to remove the obstacles to labour market re‐integration faced by the most vulnerable groups within the purview of the programme and, above all, young women with family responsibilities."
